챔피언명,챔피언_ID,API_이름,별명,난이도,주_직업군,보조_직업군,사용_자원,기본_능력치,공격_형태,출시일,출시_패치,최근_변경_패치,세부_역할군,추천_포지션,실제_활용_포지션,피해량,내구력,군중_제어,기동력,보조_능력,공격_성향,적응형_능력치,파랑_정수_가격,RP_가격,패시브_스킬,Q_스킬,W_스킬,E_스킬,R_스킬,전체_스킬,본명,별칭
메가 나르,150.2,GnarBig,잃어버린 고리,2,전사,탱커,분노,"{'기본_체력': 640, '레벨당_체력': 122, '기본_자원': 100, '레벨당_자원': 0, '기본_방어력': 35.5, '레벨당_방어력': 6.7, '기본_마법_저항력': 33.5, '레벨당_마법_저항력': 4.8, '기본_체력_재생': 4.5, '레벨당_체력_재생': 1.25, '기본_자원_재생': 0, '레벨당_자원_재생': 0, '기본_공격력': 66, '레벨당_공격력': 5.7, '기본_공격_속도': 0.625, '레벨당_공격_속도': 0.5, '공격_사거리': 175, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 200, '선택_반경': 140, '게임플레이_반경': 80, '충돌_반경': 30, '공격_속도_계수': 0.625, '공격_지연_보정': -0.153999999165534}",근접,2014-08-14,V4.14,V14.9,{선봉대},{탑},{탑},2,3,2,1,1,65,물리,2400,880,{1: '분노 유전자'},{1: '돌덩이 던지기'},{1: '쿵쾅'},{1: '우지끈'},{1: '나르!'},"['분노 유전자', '돌덩이 던지기', '쿵쾅', '우지끈', '나르!']",,
그라가스,79.0,Gragas,술취한 난동꾼,2,전사,마법사,마나,"{'기본_체력': 640, '레벨당_체력': 115, '기본_자원': 400, '레벨당_자원': 47, '기본_방어력': 38, '레벨당_방어력': 5, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.5, '기본_자원_재생': 6, '레벨당_자원_재생': 0.8, '기본_공격력': 64, '레벨당_공격력': 3.5, '기본_공격_속도': 0.675, '레벨당_공격_속도': 2.05, '공격_사거리': 125, '이동_속도': 330, '탐색_반경': 600, '선택_높이': 185, '선택_반경': 140, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.625, '공격_지연_보정': -0.050000000745058, '무작위_총력전': {'받는_피해': 0.95}}",근접,2010-02-02,V1.0.0.72,V25.09,{선봉대},{정글},"{미드, 정글, 탑}",2,3,3,2,1,90,마법,1575,790,{1: '서비스 시간'},"{1: '술통 굴리기', 2: '술통 굴리기 (변형 2)'}","{1: '취중 분노', 2: '취중 분노 (변형 2)'}",{1: '몸통 박치기'},{1: '술통 폭발'},"['서비스 시간', '술통 굴리기', '술통 굴리기 (변형 2)', '취중 분노', '취중 분노 (변형 2)', '몸통 박치기', '술통 폭발']",,
그레이브즈,104.0,Graves,무법자,2,원거리 딜러,,마나,"{'기본_체력': 625, '레벨당_체력': 106, '기본_자원': 325, '레벨당_자원': 40, '기본_방어력': 33, '레벨당_방어력': 4.6, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8, '레벨당_체력_재생': 0.7, '기본_자원_재생': 8, '레벨당_자원_재생': 0.7, '기본_공격력': 68, '레벨당_공격력': 4, '기본_공격_속도': 0.475, '레벨당_공격_속도': 3, '공격_사거리': 425, '이동_속도': 340, '선택_높이': 140, '선택_반경': 110, '충돌_반경': 10, '공격_속도_계수': 0.490000009536743, '공격_준비_동작_계수': 0.100000001490116, '공격_지연_보정': -0.294999986886978, '투사체_속도': 3800, '단일_챔피언': {'가하는_피해': 0.98, '받는_피해': 1.05}, '궁극기_주문서': {'가하는_피해': 0.95}}",원거리,2011-10-19,V1.0.0.127,V14.24,{전문가},{정글},{정글},3,2,1,2,2,20,물리,2400,880,{1: '새로운 운명'},{1: '화약 역류'},{1: '연막탄'},{1: '빨리 뽑기'},{1: '무고한 희생자'},"['새로운 운명', '화약 역류', '연막탄', '빨리 뽑기', '무고한 희생자']",말콤 그레이브즈,
그웬,887.0,Gwen,신성한 재봉사,2,전사,암살자,마나,"{'기본_체력': 600, '레벨당_체력': 110, '기본_자원': 330, '레벨당_자원': 40, '기본_방어력': 36, '레벨당_방어력': 4.9, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9, '레벨당_체력_재생': 0.9, '기본_자원_재생': 7.5, '레벨당_자원_재생': 0.7, '기본_공격력': 63, '레벨당_공격력': 3, '기본_공격_속도': 0.69, '공격_속도_계수': 0.69, '레벨당_공격_속도': 2.25, '공격_사거리': 150, '이동_속도': 340, '공격_시전_시간': 0.300000012, '총_공격_시간': 1.52499998, '탐색_반경': 600, '선택_높이': 120, '선택_반경': 100, '충돌_반경': 35, '무작위_총력전': {'가하는_피해': 1.02}, '궁극기_주문서': {'가하는_피해': 0.95, '받는_피해': 1.05}}",근접,2021-04-15,V11.8,V25.12,{척후병},{탑},"{정글, 탑}",3,2,1,3,1,50,마법,2400,880,{1: '가위 난도질'},{1: '싹둑싹둑!'},{1: '신성한 안개'},{1: '돌격가위'},{1: '바느질'},"['가위 난도질', '싹둑싹둑!', '신성한 안개', '돌격가위', '바느질']",,
헤카림,120.0,Hecarim,전쟁의 전조,2,전사,탱커,마나,"{'기본_체력': 625, '레벨당_체력': 106, '기본_자원': 280, '레벨당_자원': 40, '기본_방어력': 32, '레벨당_방어력': 5.45, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 7, '레벨당_체력_재생': 0.75, '기본_자원_재생': 7, '레벨당_자원_재생': 0.8, '기본_공격력': 66, '레벨당_공격력': 3.7, '기본_공격_속도': 0.67, '레벨당_공격_속도': 2.5, '공격_사거리': 175, '이동_속도': 345, '선택_높이': 140, '선택_반경': 140, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.6700000166893, '공격_지연_보정': -0.050000000745058, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 0.9, '회복량': 1.2, '스킬_가속': 10}, '돌격_넥서스': {'가하는_피해': 1, '받는_피해': 0.95}}",근접,2012-04-18,V1.0.0.138,V14.24,{기동형 전사},{정글},{정글},2,2,2,2,1,65,물리,2400,880,{1: '출정'},{1: '회오리 베기'},{1: '공포의 망령'},{1: '파멸의 돌격'},{1: '그림자의 맹습'},"['출정', '회오리 베기', '공포의 망령', '파멸의 돌격', '그림자의 맹습']",,
하이머딩거,74.0,Heimerdinger,위대한 발명가,2,마법사,서포터,마나,"{'기본_체력': 558, '레벨당_체력': 101, '기본_자원': 385, '레벨당_자원': 20, '기본_방어력': 19, '레벨당_방어력': 4.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 7, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 56, '레벨당_공격력': 2.7, '기본_공격_속도': 0.658, '레벨당_공격_속도': 1.36, '공격_사거리': 550, '이동_속도': 340, '탐색_반경': 550, '선택_높이': 85, '선택_반경': 100, '충돌_반경': 30.5443992614746, '게임플레이_반경': 55, '공격_속도_계수': 0.625, '공격_지연_보정': -0.1, '투사체_속도': 1500, '무작위_총력전': {'가하는_피해': 0.9, '받는_피해': 1.1}, '단일_챔피언': {'가하는_피해': 0.97}}",원거리,2009-10-10,V0.9.25.34,V25.03,{전문가},{서포터},"{미드, 서포터, 탑}",3,1,2,1,2,100,마법,1575,790,{1: '마법공학 전문가'},"{1: 'H-28G 진화형 포탑', 2: 'H-28G 진화형 포탑 (변형 2)'}","{1: '마법공학 초소형 로켓', 2: '마법공학 초소형 로켓 (변형 2)'}","{1: 'CH-2 전자폭풍 수류탄', 2: 'CH-2 전자폭풍 수류탄 (변형 2)'}",{1: '업그레이드!!!'},"['마법공학 전문가', 'H-28G 진화형 포탑', 'H-28G 진화형 포탑 (변형 2)', '마법공학 초소형 로켓', '마법공학 초소형 로켓 (변형 2)', 'CH-2 전자폭풍 수류탄', 'CH-2 전자폭풍 수류탄 (변형 2)', '업그레이드!!!']",세실 B. 하이머딩거,
흐웨이,910.0,Hwei,몽상가,3,마법사,서포터,마나,"{'기본_체력': 580, '레벨당_체력': 109, '기본_자원': 480, '레벨당_자원': 30, '기본_방어력': 21, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 7.5, '레벨당_자원_재생': 0.75, '기본_공격력': 54, '레벨당_공격력': 3.3, '기본_공격_속도': 0.69, '레벨당_공격_속도': 2.5, '공격_사거리': 550, '이동_속도': 330, '탐색_반경': 600, '선택_높이': 180, '선택_반경': 135, '충돌_반경': 35, '공격_속도_계수': 0.658, '공격_시전_시간': 0.28, '총_공격_시간': 1.495, '투사체_속도': 2800, '무작위_총력전': {'가하는_피해': 0.95}}",원거리,2023-12-05,V13.24,V25.13,{포킹형 마법사},"{미드, 서포터}","{미드, 서포터}",3,1,3,1,2,90,마법,2400,880,{1: '몽상가의 서명'},"{1: '주제: 참사', 2: '주제: 참사 (변형 2)', 3: '주제: 참사 (변형 3)', 4: '주제: 참사 (변형 4)'}","{1: '주제: 평온', 2: '주제: 평온 (변형 2)', 3: '주제: 평온 (변형 3)', 4: '주제: 평온 (변형 4)'}","{1: '주제: 고통', 2: '주제: 고통 (변형 2)', 3: '주제: 고통 (변형 3)', 4: '주제: 고통 (변형 4)'}","{1: '절망의 소용돌이', 2: '절망의 소용돌이 (변형 2)'}","['몽상가의 서명', '주제: 참사', '주제: 참사 (변형 2)', '주제: 참사 (변형 3)', '주제: 참사 (변형 4)', '주제: 평온', '주제: 평온 (변형 2)', '주제: 평온 (변형 3)', '주제: 평온 (변형 4)', '주제: 고통', '주제: 고통 (변형 2)', '주제: 고통 (변형 3)', '주제: 고통 (변형 4)', '절망의 소용돌이', '절망의 소용돌이 (변형 2)']",,
일라오이,420.0,Illaoi,크라켄의 여사제,2,전사,탱커,마나,"{'기본_체력': 656, '레벨당_체력': 115, '기본_자원': 350, '레벨당_자원': 50, '기본_방어력': 35, '레벨당_방어력': 5, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9.5, '레벨당_체력_재생': 0.8, '기본_자원_재생': 7.5, '레벨당_자원_재생': 0.75, '기본_공격력': 65, '레벨당_공격력': 5, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2.5, '공격_사거리': 125, '이동_속도': 350, '탐색_반경': 600, '선택_높이': 100, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_시전_시간': 0.375, '총_공격_시간': 1.75, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05, '회복량': 0.8}, '아레나': {'레벨당_체력': -10, '레벨당_공격력': -1}, '단일_챔피언': {'가하는_피해': 0.92, '받는_피해': 1.05}, '초고속_모드': {'가하는_피해': 1, '받는_피해': 0.9}}",근접,2015-11-24,V5.23,V25.09,{돌격형 전사},{탑},{탑},3,2,1,1,1,65,물리,1575,790,{1: '고대신의 예언자'},{1: '촉수 강타'},{1: '혹독한 가르침'},"{1: '영혼의 시험', 2: '영혼의 시험 (변형 2)'}",{1: '믿음의 도약'},"['고대신의 예언자', '촉수 강타', '혹독한 가르침', '영혼의 시험', '영혼의 시험 (변형 2)', '믿음의 도약']",,
이렐리아,39.0,Irelia,칼날 무희,2,전사,암살자,마나,"{'기본_체력': 630, '레벨당_체력': 115, '기본_자원': 350, '레벨당_자원': 50, '기본_방어력': 36, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 6, '레벨당_체력_재생': 0.85, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 65, '레벨당_공격력': 3.5, '기본_공격_속도': 0.656, '레벨당_공격_속도': 2.5, '공격_사거리': 200, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 120, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.656000018119812, '공격_시전_시간': 0.300000011920928, '총_공격_시간': 1.52499997615814, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 1, '스킬_가속': 20}, '아레나': {'레벨당_체력': 12}, '단일_챔피언': {'가하는_피해': 0.97}}",근접,2010-11-16,V1.0.0.105,V25.13,{기동형 전사},"{미드, 탑}","{미드, 탑}",2,2,2,3,2,30,물리,1575,790,{1: '아이오니아의 열정'},{1: '칼날 쇄도'},{1: '저항의 춤'},{1: '쌍검협무'},{1: '선봉진격검'},"['아이오니아의 열정', '칼날 쇄도', '저항의 춤', '쌍검협무', '선봉진격검']",잔 이렐리아,
아이번,427.0,Ivern,자연의 아버지,2,서포터,마법사,마나,"{'기본_체력': 630, '레벨당_체력': 99, '기본_자원': 450, '레벨당_자원': 60, '기본_방어력': 27, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 7, '레벨당_체력_재생': 0.85, '기본_자원_재생': 6, '레벨당_자원_재생': 0.75, '기본_공격력': 50, '레벨당_공격력': 3, '기본_공격_속도': 0.644, '레벨당_공격_속도': 3.4, '투사체_속도': 2000, '공격_사거리': 475, '이동_속도': 330, '선택_높이': 250, '선택_반경': 140, '충돌_반경': 40, '게임플레이_반경': 70, '공격_속도_계수': 0.643999993801116, '공격_지연_보정': -0.1, '무작위_총력전': {'가하는_피해': 0.95, '보호막량': 0.9}, '단일_챔피언': {'가하는_피해': 1.1, '받는_피해': 0.93, '보호막량': 1.2}, '궁극기_주문서': {'받는_피해': 0.95}}",원거리,2016-10-05,V6.20,V25.12,{포획형},{정글},{정글},1,1,3,2,3,10,마법,2400,880,{1: '숲의 친구'},{1: '덩굴뿌리'},{1: '수풀 가꾸기'},{1: '보호의 씨앗'},"{1: '데이지!', 2: '데이지! (변형 2)'}","['숲의 친구', '덩굴뿌리', '수풀 가꾸기', '보호의 씨앗', '데이지!', '데이지! (변형 2)']",아이번 브램블풋,
잔나,40.0,Janna,폭풍의 분노,1,서포터,마법사,마나,"{'기본_체력': 570, '레벨당_체력': 90, '기본_자원': 360, '레벨당_자원': 50, '기본_방어력': 28, '레벨당_방어력': 4.5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 11.5, '레벨당_자원_재생': 0.4, '기본_공격력': 47, '레벨당_공격력': 2.5, '기본_공격_속도': 0.625, '레벨당_공격_속도': 3, '공격_사거리': 550, '이동_속도': 325, '탐색_반경': 550, '선택_높이': 200, '선택_반경': 125, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.1, '투사체_속도': 1800, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05, '회복량': 0.9, '보호막량': 1}, '단일_챔피언': {'가하는_피해': 1.03}}",원거리,2009-09-02,V0.9.22.16,V14.20,{강화형 보조술사},{서포터},{서포터},1,1,3,1,3,100,마법,675,585,{1: '순풍'},{1: '울부짖는 돌풍'},{1: '서풍'},{1: '폭풍의 눈'},{1: '계절풍'},"['순풍', '울부짖는 돌풍', '서풍', '폭풍의 눈', '계절풍']",잔나 윈드포스,
자르반 4세,59.0,JarvanIV,데마시아의 귀감,1,전사,탱커,마나,"{'기본_체력': 640, '레벨당_체력': 104, '기본_자원': 300, '레벨당_자원': 55, '기본_방어력': 36, '레벨당_방어력': 5.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8, '레벨당_체력_재생': 0.7, '기본_자원_재생': 6.5, '레벨당_자원_재생': 0.45, '기본_공격력': 64, '레벨당_공격력': 3, '기본_공격_속도': 0.658, '레벨당_공격_속도': 2.5, '공격_사거리': 175, '이동_속도': 340, '탐색_반경': 600, '선택_높이': 100, '선택_반경': 125, '충돌_반경': 35, '공격_속도_계수': 0.657999992370605, '공격_지연_보정': -0.124559998512268, '무작위_총력전': {'가하는_피해': 1, '받는_피해': 1}, '단일_챔피언': {'가하는_피해': 0.95}, '신속_모드': {'레벨당_방어력': -0.5}, '궁극기_주문서': {'가하는_피해': 0.95}}",근접,2011-03-01,V1.0.0.112,V25.06,{기동형 전사},{정글},{정글},2,2,2,2,2,55,물리,1575,790,{1: '전장의 군가'},{1: '용의 일격'},{1: '황금빛 방패'},{1: '데마시아의 깃발'},{1: '대격변'},"['전장의 군가', '용의 일격', '황금빛 방패', '데마시아의 깃발', '대격변']",자르반 라이트실드 4세,자르반 4세
잭스,24.0,Jax,무기의 달인,1,전사,암살자,마나,"{'기본_체력': 665, '레벨당_체력': 103, '기본_자원': 339, '레벨당_자원': 52, '기본_방어력': 36, '레벨당_방어력': 4.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8.2, '레벨당_자원_재생': 0.7, '기본_공격력': 68, '레벨당_공격력': 4.25, '기본_공격_속도': 0.638, '레벨당_공격_속도': 3.4, '공격_사거리': 125, '이동_속도': 350, '탐색_반경': 400, '선택_높이': 130, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.638000011444091, '공격_지연_보정': -0.0918904393911361, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 0.97}, '아레나': {'레벨당_체력': -10, '레벨당_공격력': -0.25}, '단일_챔피언': {'가하는_피해': 0.95, '받는_피해': 1.05}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.15}, '궁극기_주문서': {'가하는_피해': 0.95, '받는_피해': 1.05}}",근접,2009-02-21,Alpha Week 2,V25.12,{척후병},"{정글, 탑}","{정글, 탑}",3,2,2,2,1,10,물리,675,585,{1: '가차없는 맹공'},{1: '도약 공격'},{1: '무기 강화'},{1: '반격'},{1: '무기의 달인'},"['가차없는 맹공', '도약 공격', '무기 강화', '반격', '무기의 달인']",사이작스 케일린스 코하리 이케이선,
제이스,126.0,Jayce,미래의 수호자,3,원거리 딜러,전사,마나,"{'기본_체력': 590, '레벨당_체력': 109, '기본_자원': 375, '레벨당_자원': 45, '기본_방어력': 22, '레벨당_방어력': 5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 6, '레벨당_체력_재생': 0.6, '기본_자원_재생': 6, '레벨당_자원_재생': 0.8, '기본_공격력': 59, '레벨당_공격력': 4.25, '기본_공격_속도': 0.658, '레벨당_공격_속도': 3, '공격_사거리': 125, '이동_속도': 335, '탐색_반경': 200, '선택_높이': 188.88890075683594, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.657999992370605, '공격_준비_동작_계수': 0.00499999988824129, '공격_지연_보정': -0.20499999821186, '무작위_총력전': {'가하는_피해': 1.05}, '초고속_모드': {'가하는_피해': 0.92, '받는_피해': 1.05}}",근접,2012-07-07,V1.0.0.142,V25.04,{포킹형 마법사},{탑},"{미드, 탑}",3,1,1,2,2,45,물리,2400,880,{1: '마법공학 축전기'},"{1: '하늘로!', 2: '전격 폭발'}","{1: '번개 강타', 2: '초전하'}","{1: '천둥 강타', 2: '가속 관문'}","{1: '머큐리 캐논', 2: '머큐리 해머'}","['마법공학 축전기', '하늘로!', '전격 폭발', '번개 강타', '초전하', '천둥 강타', '가속 관문', '머큐리 캐논', '머큐리 해머']",제이스 탈리스,
진,202.0,Jhin,잔혹극의 거장,2,원거리 딜러,마법사,마나,"{'기본_체력': 655, '레벨당_체력': 107, '기본_자원': 300, '레벨당_자원': 50, '기본_방어력': 24, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 3.75, '레벨당_체력_재생': 0.55, '기본_자원_재생': 6, '레벨당_자원_재생': 0.8, '기본_공격력': 59, '레벨당_공격력': 4.4, '기본_공격_속도': 0.625, '레벨당_공격_속도': 3, '공격_사거리': 550, '이동_속도': 330, '탐색_반경': 800, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, 'crit_mod': 0.86, '공격_속도_계수': 0, '공격_시전_시간': 0.25, '총_공격_시간': 1.60000002384185, '투사체_속도': 2600, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05}, '초고속_모드': {'가하는_피해': 1.01, '받는_피해': 1}}",원거리,2016-02-01,V6.2,V25.06,"{원거리 딜러, 포획형}",{바텀},{바텀},3,1,2,1,1,20,물리,1234,880,{1: '속삭임'},{1: '춤추는 유탄'},"{1: '살상연희', 2: '살상연희 (변형 2)'}",{1: '강제 관람'},"{1: '커튼 콜', 2: '커튼 콜 (변형 2)', 3: '커튼 콜 (변형 3)'}","['속삭임', '춤추는 유탄', '살상연희', '살상연희 (변형 2)', '강제 관람', '커튼 콜', '커튼 콜 (변형 2)', '커튼 콜 (변형 3)']",카다 진,
징크스,222.0,Jinx,난폭한 말괄량이,2,원거리 딜러,,마나,"{'기본_체력': 630, '레벨당_체력': 105, '기본_자원': 260, '레벨당_자원': 50, '기본_방어력': 26, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 3.75, '레벨당_체력_재생': 0.5, '기본_자원_재생': 6.7, '레벨당_자원_재생': 1, '기본_공격력': 59, '레벨당_공격력': 3.25, '기본_공격_속도': 0.625, '레벨당_공격_속도': 1.4, '공격_사거리': 525, '이동_속도': 325, '탐색_반경': 550, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_시전_시간': 0.270000010728836, '총_공격_시간': 1.60000002384185, '무작위_총력전': {'가하는_피해': 0.9, '받는_피해': 1.05}, '아레나': {'레벨당_체력': 10, '레벨당_공격력': 0.6}, '돌격_넥서스': {'가하는_피해': 0.95, '받는_피해': 1.05}}",원거리,2013-10-10,V3.12,V25.06,{원거리 딜러},{바텀},{바텀},3,1,2,1,1,10,물리,1575,790,{1: '신난다!'},"{1: '휘릭휘릭!', 2: '휘릭휘릭! (변형 2)', 3: '휘릭휘릭! (변형 3)', 4: '휘릭휘릭! (변형 4)'}",{1: '빠직!'},"{1: '와작와작 뻥!', 2: '와작와작 뻥! (변형 2)'}",{1: '초강력 초토화 로켓!'},"['신난다!', '휘릭휘릭!', '휘릭휘릭! (변형 2)', '휘릭휘릭! (변형 3)', '휘릭휘릭! (변형 4)', '빠직!', '와작와작 뻥!', '와작와작 뻥! (변형 2)', '초강력 초토화 로켓!']",파우더,
크산테,897.0,KSante,나주마의 긍지,3,탱커,전사,마나,"{'기본_체력': 625, '레벨당_체력': 120, '기본_자원': 320, '레벨당_자원': 60, '기본_방어력': 36, '레벨당_방어력': 5.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 2.1, '기본_체력_재생': 9.5, '레벨당_체력_재생': 1.0, '기본_자원_재생': 7, '레벨당_자원_재생': 1, '기본_공격력': 64, '레벨당_공격력': 3.5, '기본_공격_속도': 0.688, '레벨당_공격_속도': 2.5, '공격_사거리': 150, '이동_속도': 330, '탐색_반경': 400, '선택_높이': 225, '선택_반경': 140, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.625, '공격_지연_보정': -0.1046875, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 1}, '아레나': {'레벨당_체력': 15}, '단일_챔피언': {'가하는_피해': 1, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 1.05, '받는_피해': 1}}",근접,2022-11-02,V12.21,V25.11,"{수비형 탱커, 척후병}",{탑},{탑},2,3,3,2,2,30,물리,2400,880,{1: '불굴의 본능'},{1: '엔토포 타격'},{1: '길을 여는 자'},{1: '발놀림'},{1: '총공세'},"['불굴의 본능', '엔토포 타격', '길을 여는 자', '발놀림', '총공세']",,
카이사,145.0,Kaisa,공허의 딸,3,원거리 딜러,마법사,마나,"{'기본_체력': 640, '레벨당_체력': 102, '기본_자원': 345, '레벨당_자원': 40, '기본_방어력': 27, '레벨당_방어력': 4.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 4, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8.2, '레벨당_자원_재생': 0.7, '기본_공격력': 59, '레벨당_공격력': 2.6, '기본_공격_속도': 0.644, '레벨당_공격_속도': 1.8, '공격_사거리': 525, '이동_속도': 335, '탐색_반경': 800, '선택_높이': 122.22219848632812, '선택_반경': 100, '충돌_반경': 40.6800003051757, '공격_속도_계수': 0.643999993801116, '공격_시전_시간': 0.25, '총_공격_시간': 1.55200004577636, '투사체_속도': 2000, '무작위_총력전': {'총_공격_속도': 1.025, '가하는_피해': 1, '받는_피해': 0.9}, '단일_챔피언': {'가하는_피해': 1.03}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.1}}",원거리,2018-03-07,V8.5,V25.06,{원거리 딜러},{바텀},{바텀},3,1,1,3,1,10,마법,675,585,{1: '두 번째 피부'},"{1: '이케시아 폭우', 2: '이케시아 폭우 (변형 2)'}","{1: '공허추적자', 2: '공허추적자 (변형 2)'}","{1: '고속 충전', 2: '고속 충전 (변형 2)'}",{1: '사냥본능'},"['두 번째 피부', '이케시아 폭우', '이케시아 폭우 (변형 2)', '공허추적자', '공허추적자 (변형 2)', '고속 충전', '고속 충전 (변형 2)', '사냥본능']",,
칼리스타,429.0,Kalista,복수의 화신,3,원거리 딜러,,마나,"{'기본_체력': 560, '레벨당_체력': 114, '기본_자원': 300, '레벨당_자원': 45, '기본_방어력': 24, '레벨당_방어력': 5.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 4, '레벨당_체력_재생': 0.75, '기본_자원_재생': 6.3, '레벨당_자원_재생': 0.8, '기본_공격력': 57, '레벨당_공격력': 4, '기본_공격_속도': 0.694, '레벨당_공격_속도': 4.5, '공격_사거리': 525, '이동_속도': 330, '탐색_반경': 900, '선택_높이': 135, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.694000005722045, '공격_준비_동작_계수': 0.75, '공격_지연_보정': 0.0599999986588954, '투사체_속도': 2600, '무작위_총력전': {'가하는_피해': 1.1, '받는_피해': 0.9}, '아레나': {'기본_체력': -50, '레벨당_체력': -20}, '초고속_모드': {'가하는_피해': 1.1, '받는_피해': 0.9}}",원거리,2014-11-20,V4.20,V25.12,{원거리 딜러},{바텀},{바텀},3,1,1,3,2,10,물리,2400,880,{1: '전투 태세'},{1: '꿰뚫는 창'},{1: '감시하는 혼'},{1: '뽑아 찢기'},{1: '운명의 부름'},"['전투 태세', '꿰뚫는 창', '감시하는 혼', '뽑아 찢기', '운명의 부름']",칼리스타 볼 칼라 헤이가리,
카르마,43.0,Karma,깨우친 자,1,마법사,서포터,마나,"{'기본_체력': 630, '레벨당_체력': 109, '기본_자원': 374, '레벨당_자원': 40, '기본_방어력': 28, '레벨당_방어력': 5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 13, '레벨당_자원_재생': 0.8, '기본_공격력': 51, '레벨당_공격력': 3.3, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2.3, '공격_사거리': 525, '이동_속도': 335, '탐색_반경': 525, '선택_높이': 145, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.138541668653488, '투사체_속도': 1500, '무작위_총력전': {'가하는_피해': 1, '받는_피해': 1}}",원거리,2011-02-01,V1.0.0.110,V25.13,"{강화형 보조술사, 집중형 마법사}","{미드, 서포터}","{미드, 서포터, 탑}",2,1,2,1,2,100,마법,1575,790,{1: '열정 응집'},"{1: '내면의 열정', 2: '영혼의 불꽃'}","{1: '굳은 결의', 2: '재생'}","{1: '고무', 2: '저항'}",{1: '만트라'},"['열정 응집', '내면의 열정', '영혼의 불꽃', '굳은 결의', '재생', '고무', '저항', '만트라']",다르하,
